City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
454,Brandon,US,77.09,broken clouds,27.9378,-82.2859,Brandon Motor Lodge
465,Pindiga,NG,81.75,overcast clouds,9.9833,10.9333,Accommodation Center
466,Tual,ID,83.35,moderate rain,-5.6667,132.75,Grand Vilia Hotel
474,Alofi,NU,75.09,light rain,-19.0595,-169.9187,Taloa Heights
475,Atambua,ID,75.76,broken clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
477,Puerto Lopez,CO,84.61,light rain,4.0845,-72.956,Resguardo Indigena Maguare
478,Paita,PE,77.56,scattered clouds,-5.0892,-81.1144,Hotel Náutico de Paita
482,Matara,LK,77.14,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
483,Mareeba,AU,74.12,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
485,Xuddur,SO,83.95,broken clouds,4.1213,43.8894,Banjanay Hotel
486,Charlottesville,US,70.68,broken clouds,38.0293,-78.4767,Hampton Inn & Suites Charlottesville-At The University
488,Bilma,NE,85.62,clear sky,18.6853,12.9164,Expeditions Ténére voyages
491,Port Blair,IN,80.91,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
492,Arlit,NE,88.32,few clouds,18.7369,7.3853,Case de Passage De la Prefecture
494,Biloxi,US,71.73,clear sky,30.396,-88.8853,IP Casino Resort Spa
495,Bata,GQ,78.15,light rain,1.8639,9.7658,Hotel Elik Melen
499,Mazagao,BR,89.65,heavy intensity rain,-0.115,-51.2894,Recanto dos Ferreiras
500,San Blas,MX,85.89,clear sky,21.5167,-105.2667,Hotel Posada del Rey
502,Sibu,MY,77.31,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
504,Charters Towers,AU,72.79,broken clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
506,Tecoanapa,MX,83.59,scattered clouds,16.5167,-98.75,Hotel Manglares
507,Kapoeta,SS,88.11,broken clouds,4.7717,33.5903,Eastgate Hotel
509,Elizabeth City,US,72.03,few clouds,36.2946,-76.2511,Hampton Inn Elizabeth City
510,Pandan,PH,79.77,scattered clouds,14.0453,124.1694,Bonifacio Lodge
513,Mankono,CI,77.34,light rain,8.0586,-6.1897,Centre d'accueil Emmaüs
516,Tuxpan,MX,77.38,few clouds,19.55,-103.4,Hotel y Restaurante Campestre La Cabaña
517,Cururupu,BR,85.51,broken clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
521,Veraval,IN,78.39,few clouds,20.9,70.3667,Lords Inn Somnath
522,Pemangkat,ID,79.34,overcast clouds,1.1667,108.9667,Ramah Kost KITA
526,Tagusao,PH,79.2,broken clouds,9.1924,117.8141,Toledo
528,Japura,ID,73.27,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
529,Mopipi,BW,89.51,clear sky,-21.1833,24.8833,
530,Mabaruma,GY,86.0,scattered clouds,8.2,-59.7833,Monty Brooms Guest House
534,Yaan,NG,81.37,overcast clouds,7.3833,8.5667,
535,Chaiya,TH,80.19,overcast clouds,9.3862,99.1986,JP Place
536,Trenggalek,ID,76.5,overcast clouds,-8.05,111.7167,OYO 2966 Hotel Atriaz
538,Mahibadhoo,MV,83.25,few clouds,3.7833,72.9667,Omadhoo Inn
540,Lubao,PH,80.62,clear sky,14.9167,120.55,Hacienda Gracia
541,Mayumba,GA,77.41,overcast clouds,-3.432,10.6554,LIKWALE LODGE
542,San Patricio,US,88.21,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
545,Vila Do Maio,CV,75.99,broken clouds,15.1333,-23.2167,Hotel Marilu
546,Huarmey,PE,71.13,few clouds,-10.0681,-78.1522,Hotel Miramar
548,San Policarpo,PH,80.46,broken clouds,12.1791,125.5072,Agapita M. Nicart
550,Thoen,TH,73.24,broken clouds,17.6129,99.2161,Nakornthoen Hotel
552,Mahina,PF,80.37,few clouds,-17.5065,-149.489,Guest Beach Bungalow Tahiti
556,Mariakani,KE,74.7,few clouds,-3.8633,39.4736,The County Luxury Comfort Hotels Ltd
