City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
325,Hervey Bay,AU,-25.2986,152.8535,65.03,67,76,18.7,broken clouds
326,Half Moon Bay,US,37.4636,-122.4286,64.71,70,1,1.99,clear sky
327,Ranir Bazar,IN,23.8333,91.3667,67.46,74,2,4.21,clear sky
328,Iquitos,PE,-3.7481,-73.2472,89.64,66,75,3.44,broken clouds
329,Mikuni,JP,36.2171,136.1519,51.71,77,11,4.36,few clouds
330,Terrace Bay,CA,48.7834,-87.1,45.1,67,100,16.73,overcast clouds
331,Cap-Aux-Meules,CA,47.3821,-61.8597,51.85,76,90,11.5,light rain
332,Naryan-Mar,RU,67.6713,53.087,9.66,87,31,9.01,scattered clouds
333,Dakar,SN,14.6937,-17.4441,85.08,83,0,9.22,clear sky
334,Omsukchan,RU,62.5333,155.8,-13.81,98,98,5.1,overcast clouds
335,Tautira,PF,-17.7333,-149.15,80.62,77,94,16.28,overcast clouds
336,Konya,TR,38.1667,32.5,53.08,55,98,4.56,overcast clouds
337,Ayan,RU,56.45,138.1667,20.64,53,0,7.23,clear sky
338,Namatanai,PG,-3.6667,152.4333,78.98,83,98,7.58,light rain
339,Aykhal,RU,66.0,111.5,8.46,91,100,21.14,overcast clouds
340,Laguna,US,38.421,-121.4238,64.08,75,1,1.99,clear sky
341,Polson,US,47.6936,-114.1632,40.77,81,0,3.71,clear sky
342,Gizo,SB,-8.103,156.8419,81.25,78,99,6.67,light rain
343,Acapulco,MX,16.8634,-99.8901,85.82,70,75,5.75,broken clouds
344,Edson,CA,53.5835,-116.4356,24.94,63,1,2.3,clear sky
345,Sobolevo,RU,54.4299,31.8996,40.95,81,1,8.08,clear sky
346,Meiganga,CM,6.5167,14.3,70.61,75,75,2.95,broken clouds
347,Provideniya,RU,64.3833,-173.3,11.97,80,68,8.46,broken clouds
